date,region,product,units,revenue_kdkk
2026-03-09,East,Widgets,57,67.9
2026-03-09,East,Gadgets,38,133.2
2026-03-09,West,Widgets,37,45.2
2026-03-09,West,Gadgets,14,47.9
2026-03-09,Central,Widgets,46,56.4
2026-03-09,Central,Gadgets,32,112.4
2026-03-10,North,Widgets,65,79.6
2026-03-10,North,Gadgets,34,117.5
2026-03-10,South,Widgets,36,44.3
2026-03-10,South,Gadgets,17,58.2
2026-03-10,East,Widgets,40,47.2
2026-03-10,East,Gadgets,42,146.6
2026-03-10,West,Widgets,27,31.5
2026-03-10,West,Gadgets,16,56.0
2026-03-10,Central,Widgets,48,57.2
2026-03-10,Central,Gadgets,40,136.0
2026-03-11,North,Widgets,67,81.1
2026-03-11,North,Gadgets,24,85.5
2026-03-11,South,Widgets,39,47.7
2026-03-11,South,Gadgets,22,77.9
2026-03-11,East,Widgets,78,93.3
2026-03-11,East,Gadgets,44,149.4
2026-03-11,West,Widgets,31,37.9
2026-03-11,West,Gadgets,16,56.2
2026-03-11,Central,Widgets,44,51.6
2026-03-11,Central,Gadgets,20,69.1
2026-03-12,North,Widgets,50,59.7
2026-03-12,North,Gadgets,30,106.9
2026-03-12,South,Widgets,33,40.6
2026-03-12,South,Gadgets,20,70.4
2026-03-12,East,Widgets,81,95.7
2026-03-12,East,Gadgets,37,126.7
2026-03-12,West,Widgets,22,26.0
2026-03-12,West,Gadgets,17,59.2
2026-03-12,Central,Widgets,44,54.3
2026-03-12,Central,Gadgets,24,81.8
2026-03-13,North,Widgets,41,50.6
2026-03-13,North,Gadgets,27,94.8
2026-03-13,South,Widgets,30,36.3
2026-03-13,South,Gadgets,22,79.2
2026-03-13,East,Widgets,67,81.8
2026-03-13,East,Gadgets,38,131.8
2026-03-13,West,Widgets,27,32.9
2026-03-13,West,Gadgets,12,42.6
2026-03-13,Central,Widgets,45,54.1
2026-03-13,Central,Gadgets,27,96.3
2026-03-14,North,Widgets,29,34.7
2026-03-14,North,Gadgets,18,63.7
2026-03-14,South,Widgets,14,16.4
2026-03-14,South,Gadgets,8,28.5
2026-03-14,East,Widgets,29,33.8
2026-03-14,East,Gadgets,19,65.3
2026-03-14,West,Widgets,20,24.0
2026-03-14,West,Gadgets,9,32.4
2026-03-14,Central,Widgets,20,24.4
2026-03-14,Central,Gadgets,12,41.2
2026-03-15,North,Widgets,21,25.8
2026-03-15,North,Gadgets,18,62.4
2026-03-15,South,Widgets,20,24.6
2026-03-15,South,Gadgets,11,39.1
2026-03-15,East,Widgets,38,46.9
2026-03-15,East,Gadgets,16,56.0
2026-03-15,West,Widgets,8,9.6
2026-03-15,West,Gadgets,8,28.5
2026-03-15,Central,Widgets,23,27.8
2026-03-15,Central,Gadgets,12,42.8
2026-03-16,North,Widgets,44,51.5
2026-03-16,North,Gadgets,27,95.4
2026-03-16,South,Widgets,33,39.4
2026-03-16,South,Gadgets,25,88.5
2026-03-16,East,Widgets,65,79.7
2026-03-16,East,Gadgets,39,135.3
2026-03-16,West,Widgets,33,40.7
2026-03-16,West,Gadgets,16,57.5
2026-03-16,Central,Widgets,57,67.8
2026-03-16,Central,Gadgets,29,103.3
2026-03-17,North,Widgets,42,49.3
2026-03-17,North,Gadgets,17,59.9
2026-03-17,South,Widgets,37,43.2
2026-03-17,South,Gadgets,19,67.6
2026-03-17,East,Widgets,60,72.3
2026-03-17,East,Gadgets,42,147.9
2026-03-17,West,Widgets,23,27.4
2026-03-17,West,Gadgets,10,35.6
2026-03-17,Central,Widgets,38,45.3
2026-03-17,Central,Gadgets,23,81.2
2026-03-18,North,Widgets,52,63.3
2026-03-18,North,Gadgets,31,108.5
2026-03-18,South,Widgets,30,35.5
2026-03-18,South,Gadgets,23,79.3
2026-03-18,East,Widgets,29,34.4
2026-03-18,East,Gadgets,45,161.4
2026-03-18,West,Widgets,26,31.9
2026-03-18,West,Gadgets,16,55.8
2026-03-18,Central,Widgets,54,63.2
2026-03-18,Central,Gadgets,23,81.4
2026-03-19,North,Widgets,57,67.8
2026-03-19,North,Gadgets,25,85.2
2026-03-19,South,Widgets,23,28.2
2026-03-19,South,Gadgets,18,63.8
2026-03-19,East,Widgets,84,102.6
2026-03-19,East,Gadgets,33,115.6
2026-03-19,West,Widgets,31,36.4
2026-03-19,West,Gadgets,17,60.5
2026-03-19,Central,Widgets,58,69.1
2026-03-19,Central,Gadgets,27,96.2
2026-03-20,North,Widgets,40,46.8
2026-03-20,North,Gadgets,27,93.4
2026-03-20,South,Widgets,47,56.5
2026-03-20,South,Gadgets,20,71.1
2026-03-20,East,Widgets,70,86.4
2026-03-20,East,Gadgets,35,123.5
2026-03-20,West,Widgets,21,25.0
2026-03-20,West,Gadgets,17,60.8
2026-03-20,Central,Widgets,50,58.9
2026-03-20,Central,Gadgets,19,68.4
2026-03-21,North,Widgets,17,19.9
2026-03-21,North,Gadgets,17,58.2
2026-03-21,South,Widgets,20,23.7
2026-03-21,South,Gadgets,11,39.0
2026-03-21,East,Widgets,26,31.9
2026-03-21,East,Gadgets,25,89.3
2026-03-21,West,Widgets,14,16.9
2026-03-21,West,Gadgets,10,34.2
2026-03-21,Central,Widgets,22,26.4
2026-03-21,Central,Gadgets,16,54.9
2026-03-22,North,Widgets,29,35.1
2026-03-22,North,Gadgets,14,49.6
2026-03-22,South,Widgets,13,15.7
2026-03-22,South,Gadgets,8,28.5
2026-03-22,East,Widgets,36,43.6
2026-03-22,East,Gadgets,19,66.8
2026-03-22,West,Widgets,12,14.3
2026-03-22,West,Gadgets,6,21.2
2026-03-22,Central,Widgets,18,21.3
2026-03-22,Central,Gadgets,13,46.7
2026-03-23,North,Widgets,36,43.7
2026-03-23,North,Gadgets,30,103.7
2026-03-23,South,Widgets,39,46.6
2026-03-23,South,Gadgets,21,73.4
2026-03-23,East,Widgets,74,87.8
2026-03-23,East,Gadgets,47,166.7
2026-03-23,West,Widgets,28,34.6
2026-03-23,West,Gadgets,10,34.2
2026-03-23,Central,Widgets,40,47.5
2026-03-23,Central,Gadgets,31,108.3
2026-03-24,North,Widgets,52,60.9
2026-03-24,North,Gadgets,33,114.0
2026-03-24,South,Widgets,30,35.5
2026-03-24,South,Gadgets,24,85.8
2026-03-24,East,Widgets,75,90.4
2026-03-24,East,Gadgets,43,148.8
2026-03-24,West,Widgets,30,36.0
2026-03-24,West,Gadgets,13,45.5
2026-03-24,Central,Widgets,47,57.9
2026-03-24,Central,Gadgets,27,94.5
2026-03-25,North,Widgets,60,71.4
2026-03-25,North,Gadgets,29,98.8
2026-03-25,South,Widgets,23,27.9
2026-03-25,South,Gadgets,21,73.4
2026-03-25,East,Widgets,46,55.0
2026-03-25,East,Gadgets,35,125.3
2026-03-25,West,Widgets,28,33.3
2026-03-25,West,Gadgets,11,38.3
2026-03-25,Central,Widgets,43,51.8
2026-03-25,Central,Gadgets,25,85.3
2026-03-26,North,Widgets,37,43.8
2026-03-26,North,Gadgets,29,104.5
2026-03-26,South,Widgets,36,44.4
2026-03-26,South,Gadgets,19,66.1
2026-03-26,East,Widgets,73,89.9
2026-03-26,East,Gadgets,32,113.7
2026-03-26,West,Widgets,31,37.2
2026-03-26,West,Gadgets,19,64.7
2026-03-26,Central,Widgets,53,63.5
2026-03-26,Central,Gadgets,30,104.7
2026-03-27,North,Widgets,44,52.3
2026-03-27,North,Gadgets,26,91.6
2026-03-27,South,Widgets,48,58.4
2026-03-27,South,Gadgets,30,103.7
2026-03-27,East,Widgets,58,69.7
2026-03-27,East,Gadgets,49,173.6
2026-03-27,West,Widgets,26,31.0
2026-03-27,West,Gadgets,21,74.3
2026-03-27,Central,Widgets,60,73.3
2026-03-27,Central,Gadgets,26,92.2
2026-03-28,North,Widgets,26,31.2
2026-03-28,North,Gadgets,14,50.4
2026-03-28,South,Widgets,20,24.1
2026-03-28,South,Gadgets,7,24.8
2026-03-28,East,Widgets,32,38.7
2026-03-28,East,Gadgets,18,63.5
2026-03-28,West,Widgets,16,19.4
2026-03-28,West,Gadgets,7,23.8
2026-03-28,Central,Widgets,26,30.3
2026-03-28,Central,Gadgets,13,45.0
2026-03-29,North,Widgets,31,37.0
2026-03-29,North,Gadgets,18,64.0
2026-03-29,South,Widgets,25,30.4
2026-03-29,South,Gadgets,9,30.7
2026-03-29,East,Widgets,38,45.1
2026-03-29,East,Gadgets,21,74.2
2026-03-29,West,Widgets,13,15.3
2026-03-29,West,Gadgets,8,28.7
2026-03-29,Central,Widgets,22,26.8
2026-03-29,Central,Gadgets,15,53.2
2026-03-30,North,Widgets,45,54.4
2026-03-30,North,Gadgets,23,79.0
2026-03-30,South,Widgets,38,44.8
2026-03-30,South,Gadgets,26,93.6
2026-03-30,East,Widgets,67,79.0
2026-03-30,East,Gadgets,44,155.9
2026-03-30,West,Widgets,28,34.5
2026-03-30,West,Gadgets,19,67.7
2026-03-30,Central,Widgets,48,58.2
2026-03-30,Central,Gadgets,29,100.8
2026-03-31,North,Widgets,72,88.8
2026-03-31,North,Gadgets,29,103.4
2026-03-31,South,Widgets,37,45.0
2026-03-31,South,Gadgets,24,83.2
2026-03-31,East,Widgets,61,73.1
2026-03-31,East,Gadgets,41,140.9
2026-03-31,West,Widgets,18,21.9
2026-03-31,West,Gadgets,15,51.4
2026-03-31,Central,Widgets,40,47.3
2026-03-31,Central,Gadgets,23,81.3
